M:StockSharp.Community.IProfileService.UpdateProfile(System.Guid,StockSharp.Community.Profile)/param/sessionId;DocStr138
M:StockSharp.Community.IProfileService.UpdateProfile(System.Guid,StockSharp.Community.Profile)/param/profile;DocStr3028
M:StockSharp.Community.IProfileService.UpdateProfile(System.Guid,StockSharp.Community.Profile)/returns;DocStr3021
M:StockSharp.Community.IProfileService.GetProfile(System.Guid)/summary;DocStr3046
M:StockSharp.Community.IProfileService.GetProfile(System.Guid)/param/sessionId;DocStr138
M:StockSharp.Community.IProfileService.GetProfile(System.Guid)/returns;DocStr3028
M:StockSharp.Community.IProfileService.GetUserProfile(System.Int64)/summary;DocStr9034
M:StockSharp.Community.IProfileService.GetUserProfile(System.Int64)/param/userId;DocStr9035
M:StockSharp.Community.IProfileService.GetUserProfile(System.Int64)/returns;DocStr9036
T:StockSharp.Community.IStrategyService/summary;DocStr3050
M:StockSharp.Community.IStrategyService.CreateStrategy(System.Guid,System.Boolean,StockSharp.Community.StrategyData)/summary;DocStr3051
M:StockSharp.Community.IStrategyService.CreateStrategy(System.Guid,System.Boolean,StockSharp.Community.StrategyData)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.CreateStrategy(System.Guid,System.Boolean,StockSharp.Community.StrategyData)/param/isEnglish;DocStr9827
M:StockSharp.Community.IStrategyService.CreateStrategy(System.Guid,System.Boolean,StockSharp.Community.StrategyData)/param/strategy;DocStr3052
M:StockSharp.Community.IStrategyService.CreateStrategy(System.Guid,System.Boolean,StockSharp.Community.StrategyData)/returns;DocStr3053
M:StockSharp.Community.IStrategyService.UpdateStrategy(System.Guid,StockSharp.Community.StrategyData)/summary;DocStr3054
M:StockSharp.Community.IStrategyService.UpdateStrategy(System.Guid,StockSharp.Community.StrategyData)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.UpdateStrategy(System.Guid,StockSharp.Community.StrategyData)/param/strategy;DocStr3052
M:StockSharp.Community.IStrategyService.UpdateStrategy(System.Guid,StockSharp.Community.StrategyData)/returns;DocStr3021
M:StockSharp.Community.IStrategyService.DeleteStrategy(System.Guid,System.Int64)/summary;DocStr3055
M:StockSharp.Community.IStrategyService.DeleteStrategy(System.Guid,System.Int64)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.DeleteStrategy(System.Guid,System.Int64)/param/strategyId;DocStr3053
M:StockSharp.Community.IStrategyService.DeleteStrategy(System.Guid,System.Int64)/returns;DocStr3021
M:StockSharp.Community.IStrategyService.GetStrategies(System.DateTime,System.Boolean)/summary;DocStr3056
M:StockSharp.Community.IStrategyService.GetStrategies(System.DateTime,System.Boolean)/param/lastCheckTime;DocStr9037
M:StockSharp.Community.IStrategyService.GetStrategies(System.DateTime,System.Boolean)/param/isEnglish;DocStr9828
M:StockSharp.Community.IStrategyService.GetStrategies(System.DateTime,System.Boolean)/returns;DocStr9038
M:StockSharp.Community.IStrategyService.GetDescription(System.Int64[])/summary;DocStr3059
M:StockSharp.Community.IStrategyService.GetDescription(System.Int64[])/param/strategyIds;DocStr3057
M:StockSharp.Community.IStrategyService.GetDescription(System.Int64[])/returns;DocStr3060
M:StockSharp.Community.IStrategyService.GetSubscriptions(System.Guid,System.DateTime)/summary;DocStr9041
M:StockSharp.Community.IStrategyService.GetSubscriptions(System.Guid,System.DateTime)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.GetSubscriptions(System.Guid,System.DateTime)/param/lastCheckTime;DocStr9037
M:StockSharp.Community.IStrategyService.GetSubscriptions(System.Guid,System.DateTime)/returns;DocStr9042
M:StockSharp.Community.IStrategyService.Subscribe(System.Guid,System.Int64,System.Boolean)/summary;DocStr3062
M:StockSharp.Community.IStrategyService.Subscribe(System.Guid,System.Int64,System.Boolean)/param/sessionId;DocStr138
M:StockSharp.Community.IStrategyService.Subscribe(System.Guid,System.Int64,System.Boolean)/param/strategyId;DocStr3053
M:StockSharp.Community.IStrategyService.Subscribe(System.Guid,System.Int64,System.Boolean)/param/isAutoRenew;DocStr9043
M:StockSharp.Community.IStrategyService.Subscribe(System.Guid,System.Int64,System.Boolean)/returns;DocStr9044
M:StockSharp.Community.IStrategyService.UnSubscribe(System.Guid,System.Int64)/summary;DocStr3063
M:StockSharp.Community.IStrategyService.UnSubscribe(System.Guid,System.Int64)/param/sessionId;DocStr138
